Exchange Date,Close,%Chg,Volume
15-Apr-2013,70.259,0.007 ,2988962 
16-Apr-2013,70.402,-0.005 ,2545516 
17-Apr-2013,70.949,0.017 ,3463293 
18-Apr-2013,70.693,-0.004 ,3850568 
19-Apr-2013,70.256,-0.003 ,2439597 
22-Apr-2013,70.817,0.008 ,1909312 
23-Apr-2013,71.450,0.010 ,2771223 
24-Apr-2013,73.274,0.024 ,10457652 
26-Apr-2013,72.416,-0.012 ,2285189 
29-Apr-2013,73.692,0.011 ,1670796 
30-Apr-2013,75.749,0.026 ,4257843 
01-May-2013,74.559,-0.007 ,1494146 
02-May-2013,73.868,-0.006 ,1570739 
03-May-2013,72.895,-0.020 ,2763355 
06-May-2013,73.058,0.009 ,1984514 
07-May-2013,71.186,-0.019 ,3167277 
08-May-2013,72.035,0.013 ,3183226 
09-May-2013,71.307,-0.003 ,2272408 
10-May-2013,70.330,-0.007 ,2143966 
13-May-2013,70.409,0.008 ,2030550 
14-May-2013,70.897,0.013 ,3095416 
15-May-2013,71.506,0.008 ,2899342 
16-May-2013,71.039,0.002 ,3966407 
17-May-2013,70.798,0.005 ,3466417 
20-May-2013,71.675,0.004 ,2515406 
21-May-2013,70.654,-0.014 ,2941569 
22-May-2013,69.145,-0.011 ,2796581 
23-May-2013,67.607,-0.028 ,5647393 
24-May-2013,65.970,-0.013 ,5181877 
27-May-2013,65.319,-0.008 ,2797968 
28-May-2013,65.596,0.006 ,2680287 
29-May-2013,64.087,-0.025 ,4651641 
30-May-2013,64.945,0.011 ,5803902 
31-May-2013,63.640,-0.011 ,12918605 
03-Jun-2013,65.034,0.001 ,3319610 
04-Jun-2013,64.437,0.003 ,2711173 
05-Jun-2013,62.854,-0.013 ,4804378 
06-Jun-2013,63.064,-0.002 ,4369994 
07-Jun-2013,61.371,-0.016 ,3505258 
11-Jun-2013,61.300,0.006 ,3648500 
12-Jun-2013,61.401,-0.004 ,3946219 
13-Jun-2013,63.033,0.010 ,4255035 
14-Jun-2013,63.841,0.020 ,3790570 
17-Jun-2013,65.002,0.020 ,3750028 
18-Jun-2013,64.618,0.000 ,3730119 
19-Jun-2013,63.177,-0.002 ,3932420 
20-Jun-2013,60.604,-0.031 ,7497462 
21-Jun-2013,60.539,-0.003 ,5374254 
24-Jun-2013,60.468,-0.005 ,3033828 
25-Jun-2013,60.883,0.006 ,3699017 
26-Jun-2013,62.081,0.018 ,3913602 
27-Jun-2013,63.765,0.028 ,5913380 
28-Jun-2013,62.862,0.000 ,11485109 
01-Jul-2013,62.047,-0.024 ,4355039 
02-Jul-2013,62.648,0.020 ,4263812 
03-Jul-2013,61.916,-0.005 ,3576661 
04-Jul-2013,62.257,-0.001 ,2277243 
05-Jul-2013,62.181,0.008 ,1806536 
08-Jul-2013,62.668,0.000 ,2640676 
09-Jul-2013,64.006,0.017 ,4004463 
10-Jul-2013,64.156,0.003 ,3248619 
11-Jul-2013,65.243,0.015 ,2628072 
12-Jul-2013,63.853,-0.006 ,2230432 
15-Jul-2013,64.438,0.004 ,1815605 
16-Jul-2013,66.010,0.007 ,2227492 
17-Jul-2013,65.386,-0.008 ,1929964 
18-Jul-2013,65.387,0.007 ,2169575 
19-Jul-2013,65.161,-0.004 ,1740670 
22-Jul-2013,66.123,0.006 ,2616399 
23-Jul-2013,66.930,0.007 ,2899855 
24-Jul-2013,66.437,0.007 ,2773237 
25-Jul-2013,67.602,0.009 ,3261586 
26-Jul-2013,67.817,0.002 ,10847121 
29-Jul-2013,67.606,0.003 ,1877026 
30-Jul-2013,66.716,0.002 ,2417702 
31-Jul-2013,66.280,0.002 ,4115036 
01-Aug-2013,64.893,-0.015 ,4275008 
02-Aug-2013,65.323,0.010 ,2463810 
05-Aug-2013,65.504,-0.001 ,1407181 
06-Aug-2013,65.717,-0.003 ,2412293 
07-Aug-2013,64.507,-0.020 ,3656764 
08-Aug-2013,66.086,0.013 ,2572863 
09-Aug-2013,66.573,-0.002 ,2825661 
12-Aug-2013,67.166,0.013 ,2242090 
13-Aug-2013,67.578,0.010 ,2935072 
14-Aug-2013,66.871,-0.011 ,5739837 
15-Aug-2013,67.023,0.000 ,3725688 
16-Aug-2013,66.926,-0.006 ,4986487 
19-Aug-2013,64.460,-0.029 ,11665410 
20-Aug-2013,63.398,-0.012 ,4905018 
21-Aug-2013,63.432,0.012 ,3979836 
22-Aug-2013,63.830,0.002 ,3437251 
23-Aug-2013,64.638,0.011 ,3578666 
26-Aug-2013,65.193,0.007 ,2783930 
